email_id,subject,snippet,label
194c1d2dd2bd7f82,🎊 83% OFF AI Learning For Life – Gone Soon!,"Claim it before the lanterns go out! 🏮 Hi copper, Lunar New Year fun isn&#39;t over yet, but this offer ends soon! 🔥 Lock in lifetime access to AI-powered English learning today – and let your speaking",spam
194b295544ff1905,Just 2️⃣ days left 🐍 Lifetime Access Awaits: 83% OFF!,"Build speaking skills that last forever Hi copper, With just 2 days left to bid the Dragon goodbye, it&#39;s time to embrace the Year of the Snake with a fresh start. Seize this offer and get endless",spam
194afa0eab2e76a4,Men's Beauty for copper,15 Cute and Easy Hairstyles for Long Hair That Will Make You Shine hair ☀️ 15 Cute and Easy ... 15 Cute and Easy Hairstyles for Long Hair That Will Make ... hair ☀️ hair ☀️ Top 30 Trendsetti... Top 30,spam
194a930cea6ad626,Celebrities for copper,kate moss white dress 🐆 tyla met gala adriana lima 𝖘𝖎𝖒𝖔𝖓𝖊&#39;𝖘 𝖗𝖎𝖔𝖙 ☆! Zendaya Wears Bey... Zendaya Wears Beyoncé&#39;s First BET Awards Dress on the Red... These Are The Bes... These Are The Best,spam
194a76b7fb5c2c08,🎁 ELSA Welcomes You Back with Exclusive Gift!,"60% OFF Gift Inside! Hi copper, We haven&#39;t heard your awesome voice on ELSA in the past week, and we wanted to check in and see how you&#39;re doing. We know it is hard to keep up at times, and the",spam
194a147a80cc81b6,We'd love some feedback from you,"ACI Learning Hi copper, We appreciate you being a customer with us, and we&#39;d love to get some feedback from you in the survey below. How likely are you to recommend us to family and friends? 0 1 2",spam
194a02d02cc8b73e,Skin for copper,"🎀 Not a big request Close-Up of Young... Close-Up of Young Boy S Mouth and Nose Stock Image - Imag... 🎀 🎀 8 Ways to Tighten... 8 Ways to Tighten Neck Skin for Smooth Results, According... Not a big",spam
1949e007e47512e9,💫 It's Your Lucky Day – Lifetime Access 83% OFF!,"Don&#39;t miss this limited-time deal to shine forever! Hi copper, This Lunar New Year sweep away doubts and excuses and light up your English… FOREVER! Unlock endless access to ELSA AI and start",spam
1949d1eabe62b7a1,50% OFF Gift Inside! 🎁 ➡️,"50% OFF! Huge Savings, More Learning! Hi copper, We haven&#39;t heard your awesome voice on ELSA in the past week, and we wanted to check in and see how you&#39;re doing. We know it is hard to keep up",spam
194892a076c0ea8a,ELSA is blue to see you leave the Premium family 🥺,"We&#39;d love to have you back! Hi copper, We&#39;re sorry to see you go, but we appreciate you trying ELSA Premium. We&#39;re always looking to improve, and your insights are invaluable. Could you",spam
19483a307df0a94f,Hair Care for copper,🌹 beach girl Curly Highlights 🌹 🌹 See more Are you interested in this topic? Hair Care Hair Care Interested No Thanks Help Center · Privacy Policy · Terms &amp; Conditions · Unsubscribe from emails,spam
19477b0eb2bc23ea,Level up your DSA skills in 90 days with JavaScript,"Tree-t yourself to some DSA in JavaScript If it&#39;s been on your mind, this is your sign to start today! Structured Learning Carefully curated 60+ Hour of Content and 200+ industry-specific problems",spam
